City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Pozo Colorado,PY,88.39,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
6,Alofi,NU,80.92,overcast clouds,-19.0595,-169.9187,Taloa Heights
7,Kununurra,AU,85.98,clear sky,-15.7667,128.7333,Hotel Kununurra
20,Biak,ID,76.73,broken clouds,-0.9131,122.8766,Penginapan Kim
25,Sabang,ID,84.06,overcast clouds,5.8933,95.3214,Hotel Citra
27,Sao Joao Da Barra,BR,79.83,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
30,Chicama,PE,76.62,broken clouds,-7.8447,-79.1469,Balihai Bungalows
38,Carutapera,BR,84.24,scattered clouds,-1.195,-46.02,Lidera
39,Havelock,US,80.98,broken clouds,34.8791,-76.9013,Sherwood Motel
40,Natal,BR,84.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
44,Buala,SB,79.2,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
50,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
51,Atuona,PF,78.67,broken clouds,-9.8,-139.0333,Villa Enata
52,Kavieng,PG,81.64,clear sky,-2.5744,150.7967,Nusa Island Retreat
56,Trincomalee,LK,83.84,overcast clouds,8.5711,81.2335,Welcombe Hotel
57,Pitimbu,BR,82.72,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
60,Buchanan,LR,84.33,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
75,Puerto Ayora,EC,75.9,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
76,Rikitea,PF,76.41,scattered clouds,-23.1203,-134.9692,People ThankYou
78,Cabo San Lucas,MX,80.62,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
80,Ankpa,NG,85.24,overcast clouds,7.3706,7.6253,AA Suites
84,Butaritari,KI,80.87,light rain,3.0707,172.7902,Isles Sunset Lodge
86,Coahuayana,MX,89.33,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
89,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
91,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
93,Vila Velha,BR,82.94,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
99,Uthal,PK,89.08,broken clouds,25.8072,66.6219,Al-Mustafa Hotel
100,Tutoia,BR,81.72,overcast clouds,-2.7619,-42.2744,Pousada Guará's
107,Meulaboh,ID,77.68,overcast clouds,4.1363,96.1285,Kost Pria
109,Vera Cruz,BR,85.17,broken clouds,-12.6333,-41.0333,Kost Pria
112,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
114,Maragogi,BR,80.91,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
