City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Alice Springs,AU,-23.7,133.8833,56.75,67,40,4.61,scattered clouds
1,Kodiak,US,57.79,-152.4072,40.51,81,100,17.27,light rain
2,Grande Prairie,CA,55.1667,-118.8027,41.18,93,100,5.75,overcast clouds
3,Warmbad,NA,-28.45,18.7333,70.2,14,0,10.83,clear sky
4,Pozo Colorado,PY,-23.4923,-58.7972,88.39,45,0,4.9,clear sky
5,Mercedes,AR,-34.6515,-59.4307,66.85,41,0,7.65,clear sky
6,Alofi,NU,-19.0595,-169.9187,80.92,79,99,12.59,overcast clouds
7,Kununurra,AU,-15.7667,128.7333,85.98,37,9,11.5,clear sky
8,Hukuntsi,BW,-24.0,21.75,69.6,21,0,8.66,clear sky
9,Provideniya,RU,64.3833,-173.3,23.86,76,88,11.7,overcast clouds
10,Ribeira Grande,PT,38.5167,-28.7,66.6,77,75,4.61,broken clouds
11,Okhotsk,RU,59.3833,143.3,31.93,90,43,2.48,scattered clouds
12,Constitucion,CL,-35.3333,-72.4167,59.27,58,1,13.31,clear sky
13,Maniitsoq,GL,65.4167,-52.9,29.79,66,20,10.07,few clouds
14,Tuktoyaktuk,CA,69.4541,-133.0374,28.71,93,99,12.17,overcast clouds
15,Buzmeyin,TM,38.0507,58.2056,64.72,77,100,1.52,light rain
16,Ushuaia,AR,-54.8,-68.3,42.06,90,100,2.24,overcast clouds
17,Pevek,RU,69.7008,170.3133,-3.33,92,49,5.53,scattered clouds
18,Bluff,NZ,-46.6,168.3333,44.8,91,20,8.75,few clouds
19,San Luis,AR,-33.295,-66.3356,68.76,22,0,7.16,clear sky
20,Biak,ID,-0.9131,122.8766,76.73,87,80,5.39,broken clouds
21,Bethel,US,41.3712,-73.414,70.18,37,25,1.01,scattered clouds
22,Punta Arenas,CL,-53.15,-70.9167,48.31,87,0,12.66,clear sky
23,Namibe,AO,-15.1961,12.1522,74.14,76,9,15.55,clear sky
24,Bredasdorp,ZA,-34.5322,20.0403,58.39,90,0,5.26,clear sky
25,Sabang,ID,5.8933,95.3214,84.06,75,97,22.93,overcast clouds
26,Albany,US,42.6001,-73.9662,64.89,32,13,1.01,few clouds
27,Sao Joao Da Barra,BR,-21.6403,-41.0511,79.83,65,1,10.49,clear sky
28,Talcahuano,CL,-36.7167,-73.1167,54.64,62,99,4.45,overcast clouds
29,Thompson,CA,55.7435,-97.8558,24.96,80,100,11.5,overcast clouds
30,Chicama,PE,-7.8447,-79.1469,76.62,62,71,9.57,broken clouds
31,Busselton,AU,-33.65,115.3333,57.2,84,9,2.64,clear sky
32,Luderitz,NA,-26.6481,15.1594,67.12,43,0,8.05,clear sky
33,Yellowknife,CA,62.456,-114.3525,37.56,60,14,11.99,few clouds
34,Ucluelet,CA,48.9329,-125.5528,50.09,85,100,1.01,overcast clouds
35,Port Elizabeth,ZA,-33.918,25.5701,64.31,87,5,8.01,clear sky
36,Nelson Bay,AU,-32.7167,152.15,57.99,96,9,3.62,clear sky
37,Airai,TL,-8.9266,125.4092,59.22,89,64,3.51,broken clouds
38,Carutapera,BR,-1.195,-46.02,84.24,70,31,5.55,scattered clouds
39,Havelock,US,34.8791,-76.9013,80.98,73,64,7.0,broken clouds
40,Natal,BR,-5.795,-35.2094,84.85,74,75,11.5,broken clouds
41,Little Chute,US,44.28,-88.3184,51.8,89,100,13.8,light intensity drizzle
42,Hobart,AU,-42.8794,147.3294,61.27,74,91,8.05,overcast clouds
43,Jamestown,US,42.097,-79.2353,50.52,89,100,13.8,moderate rain
44,Buala,SB,-8.145,159.5921,79.2,84,100,6.44,moderate rain
45,Santiago Del Estero,AR,-27.7951,-64.2615,63.72,43,100,7.31,overcast clouds
46,Leningradskiy,RU,69.3833,178.4167,0.66,84,76,6.33,broken clouds
47,Orcopampa,PE,-15.2661,-72.3417,59.31,32,25,2.91,scattered clouds
48,Mar Del Plata,AR,-38.0023,-57.5575,54.88,68,94,11.99,overcast clouds
49,Qaanaaq,GL,77.484,-69.3632,12.87,66,20,5.12,few clouds
50,Grand Gaube,MU,-20.0064,57.6608,75.6,80,8,1.99,clear sky
51,Atuona,PF,-9.8,-139.0333,78.67,77,58,13.71,broken clouds
52,Kavieng,PG,-2.5744,150.7967,81.64,76,8,4.52,clear sky
53,Norman Wells,CA,65.282,-126.8329,42.62,72,33,11.97,scattered clouds
54,Monywa,MM,22.1167,95.1333,93.27,34,44,6.29,scattered clouds
55,Moron,AR,-34.6534,-58.6198,67.01,42,0,6.06,clear sky
56,Trincomalee,LK,8.5711,81.2335,83.84,72,99,12.64,overcast clouds
57,Pitimbu,BR,-7.4706,-34.8086,82.72,72,59,12.86,broken clouds
58,Kungurtug,RU,50.5994,97.5228,44.22,52,40,3.02,scattered clouds
59,Mareeba,AU,-17.0,145.4333,68.72,93,83,1.59,broken clouds
60,Buchanan,LR,5.8808,-10.0467,84.33,73,99,7.11,overcast clouds
61,Sangar,RU,63.9242,127.4739,33.15,91,100,13.87,light snow
62,Saldanha,ZA,-33.0117,17.9442,60.12,85,0,16.53,clear sky
63,Moche,PE,-8.1711,-79.0092,69.6,81,66,7.94,broken clouds
64,Pacific Grove,US,36.6177,-121.9166,59.54,75,40,5.99,scattered clouds
65,Longyearbyen,SJ,78.2186,15.6401,15.64,57,75,8.05,broken clouds
66,Neuquen,AR,-38.9516,-68.0591,57.96,41,100,9.37,overcast clouds
67,Upernavik,GL,72.7868,-56.1549,13.93,64,92,4.32,overcast clouds
68,Chitral,PK,35.8462,71.7858,72.01,39,8,0.58,clear sky
69,New Norfolk,AU,-42.7826,147.0587,60.93,78,97,1.01,overcast clouds
70,Kapaa,US,22.0752,-159.319,73.11,85,20,21.85,few clouds
71,Mataura,NZ,-46.1927,168.8643,44.47,98,26,2.57,scattered clouds
72,Cuaspud,CO,0.8628,-77.7263,54.55,81,99,7.38,light rain
73,Fort Nelson,CA,58.8053,-122.7002,39.11,86,63,5.66,broken clouds
74,Dabola,GN,10.75,-11.1167,97.9,26,95,3.62,overcast clouds
75,Puerto Ayora,EC,-0.7393,-90.3518,75.9,80,69,7.61,broken clouds
76,Rikitea,PF,-23.1203,-134.9692,76.41,72,34,5.97,scattered clouds
77,Tasiilaq,GL,65.6145,-37.6368,32.16,64,96,11.01,overcast clouds
78,Cabo San Lucas,MX,22.8909,-109.9124,80.62,58,84,1.99,broken clouds
79,Nizhniy Kuranakh,RU,58.8353,125.4869,32.79,83,100,4.56,overcast clouds
80,Ankpa,NG,7.3706,7.6253,85.24,56,100,4.9,overcast clouds
81,Uni,RU,57.7535,51.4923,35.26,71,96,6.02,overcast clouds
82,East London,ZA,-33.0153,27.9116,66.72,67,5,10.69,clear sky
83,Hilo,US,19.7297,-155.09,73.27,94,100,13.8,moderate rain
84,Butaritari,KI,3.0707,172.7902,80.87,79,95,11.5,light rain
85,Barrow,US,71.2906,-156.7887,20.26,94,100,12.19,overcast clouds
86,Coahuayana,MX,18.7333,-103.6833,89.33,25,100,6.22,overcast clouds
87,Lagoa,PT,39.05,-27.9833,61.97,76,24,1.74,few clouds
88,Port Alfred,ZA,-33.5906,26.891,59.18,89,5,1.01,clear sky
89,Mahebourg,MU,-20.4081,57.7,75.49,88,75,3.44,broken clouds
90,Mildura,AU,-34.2,142.15,56.23,64,0,1.86,clear sky
91,Souillac,MU,-20.5167,57.5167,75.58,88,75,3.44,broken clouds
92,Dikson,RU,73.5069,80.5464,9.79,98,57,10.67,broken clouds
93,Vila Velha,BR,-20.3297,-40.2925,82.94,63,4,11.99,clear sky
94,Severo-Kurilsk,RU,50.6789,156.125,33.26,86,75,11.16,broken clouds
95,Mnogovershinnyy,RU,53.9353,139.9242,25.81,98,100,1.01,overcast clouds
96,Chuy,UY,-33.6971,-53.4616,65.3,47,4,10.36,clear sky
97,Timra,SE,62.487,17.3257,51.48,43,20,11.5,few clouds
98,Cedar City,US,37.6775,-113.0619,61.77,17,0,20.71,clear sky
99,Uthal,PK,25.8072,66.6219,89.08,44,70,8.75,broken clouds
100,Tutoia,BR,-2.7619,-42.2744,81.72,83,88,4.12,overcast clouds
101,Saskylakh,RU,71.9167,114.0833,10.63,96,71,6.08,broken clouds
102,Flinders,AU,-34.5833,150.8552,55.26,90,8,4.0,clear sky
103,Cape Town,ZA,-33.9258,18.4232,65.12,72,0,11.01,clear sky
104,Cherskiy,RU,68.75,161.3,8.4,92,18,6.89,few clouds
105,Avarua,CK,-21.2078,-159.775,71.65,100,100,1.14,overcast clouds
106,Dirba,IN,30.0667,75.9833,91.92,14,0,7.81,clear sky
107,Meulaboh,ID,4.1363,96.1285,77.68,87,100,3.31,overcast clouds
108,Menongue,AO,-14.6585,17.691,65.75,57,17,4.03,few clouds
109,Vera Cruz,BR,-12.6333,-41.0333,85.17,36,56,7.2,broken clouds
110,Hailey,US,43.5196,-114.3153,44.91,71,100,5.75,overcast clouds
111,Lompoc,US,34.6391,-120.4579,64.85,63,19,7.0,few clouds
112,Georgetown,MY,5.4112,100.3354,84.13,84,20,0.0,few clouds
113,Vagur,FO,61.4732,-6.8119,46.45,88,58,17.56,broken clouds
114,Maragogi,BR,-9.0122,-35.2225,80.91,79,50,11.56,scattered clouds
115,Chukhloma,RU,58.7525,42.6825,37.42,76,97,4.63,overcast clouds
116,Vao,NC,-22.6667,167.4833,75.42,84,32,21.3,scattered clouds
117,Aranos,NA,-24.1333,19.1167,68.52,16,0,12.26,clear sky
118,Nantucket,US,41.2835,-70.0995,60.91,74,0,5.84,clear sky
119,Bud,US,39.447,-86.1758,69.4,60,28,17.69,scattered clouds
120,Aripuana,BR,-9.1667,-60.6333,89.22,52,21,2.75,few clouds
121,Tuatapere,NZ,-46.1333,167.6833,48.06,93,37,5.55,scattered clouds
122,Chokurdakh,RU,70.6333,147.9167,15.3,96,38,7.81,scattered clouds
123,Meadow Lake,US,34.8014,-106.5436,75.7,14,3,16.91,clear sky
124,Poum,NC,-20.2333,164.0167,77.04,79,10,4.68,clear sky
125,Iralaya,HN,15.0,-83.2333,83.57,73,91,11.79,overcast clouds
126,Anloga,GH,5.7947,0.8973,84.61,72,75,11.7,broken clouds
127,Vaini,TO,-21.2,-175.2,80.53,84,100,14.76,light rain
128,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,68,12,2.77,few clouds
129,Lysva,RU,58.1086,57.8053,31.37,77,53,5.3,broken clouds
130,Tiksi,RU,71.6872,128.8694,16.74,91,88,13.89,overcast clouds
131,Karratha,AU,-20.7377,116.8463,82.17,50,98,7.49,overcast clouds
132,Peniche,PT,39.3558,-9.3811,63.28,75,39,16.58,scattered clouds
133,Kommunar,RU,59.6206,30.39,46.44,70,74,4.23,broken clouds
134,San Andres,CO,12.5847,-81.7006,81.93,82,88,13.4,overcast clouds
135,Faanui,PF,-16.4833,-151.75,80.4,74,29,10.98,scattered clouds
136,Geraldton,AU,-28.7667,114.6,57.61,77,0,4.61,clear sky
137,Mackay,AU,-21.15,149.2,68.68,83,10,12.55,clear sky
138,Vanimo,PG,-2.6741,141.3028,78.08,87,80,6.44,light rain
139,Torbay,CA,47.6666,-52.7314,54.88,83,100,7.0,overcast clouds
140,Walvis Bay,NA,-22.9575,14.5053,59.09,62,8,7.83,clear sky
141,Husavik,IS,66.0449,-17.3389,29.41,70,100,13.98,overcast clouds
142,Teknaf,BD,20.8624,92.3058,78.37,87,5,6.4,clear sky
143,Verkhnyaya Inta,RU,65.9811,60.3094,21.25,84,59,4.38,broken clouds
144,Chara,RU,56.9064,118.2631,39.81,87,100,3.58,overcast clouds
145,Hermanus,ZA,-34.4187,19.2345,62.8,84,0,10.74,clear sky
146,Te Anau,NZ,-45.4167,167.7167,47.25,92,39,2.53,scattered clouds
147,Goderich,CA,43.7501,-81.7165,55.9,87,100,23.38,light rain
148,Saint George,US,37.1041,-113.5841,75.43,16,0,13.0,clear sky
149,Nueve De Julio,AR,-35.4444,-60.8831,63.7,36,0,7.54,clear sky
150,Rathcoole,IE,53.2828,-6.4728,54.81,85,100,0.58,overcast clouds
151,Kaitangata,NZ,-46.2817,169.8464,48.94,95,23,4.23,few clouds
152,Kieta,PG,-6.2167,155.6333,78.33,85,94,2.35,overcast clouds
153,Iqaluit,CA,63.7506,-68.5145,23.7,79,100,7.54,overcast clouds
154,Juanjui,PE,-7.1779,-76.7314,87.93,51,54,3.18,broken clouds
155,Casma,CL,-41.0082,-73.1244,61.25,75,90,2.59,overcast clouds
156,Rajapur,IN,25.3833,81.15,96.64,15,1,5.23,clear sky
157,Joigny,FR,47.9829,3.401,59.81,67,98,8.34,overcast clouds
158,Tilichiki,RU,60.4667,166.1,10.29,96,46,7.61,scattered clouds
159,Esperance,AU,-33.8667,121.9,59.45,68,0,4.54,clear sky
160,Sacama,EC,-3.9,-79.2667,66.22,39,40,12.66,scattered clouds
161,Banjar,ID,-8.19,114.9675,77.45,88,97,3.33,overcast clouds
162,Touros,BR,-5.1989,-35.4608,85.01,67,84,16.42,broken clouds
163,Rio Gallegos,AR,-51.6226,-69.2181,45.18,74,100,9.4,overcast clouds
164,Sur,OM,22.5667,59.5289,85.84,54,0,6.6,clear sky
