City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Poum,NC,-20.2333,164.0167,77.02,79,11,5.03,few clouds
1,Cabo San Lucas,MX,22.8909,-109.9124,79.61,53,80,7.99,broken clouds
2,Kiruna,SE,67.8557,20.2251,32.92,80,40,13.8,scattered clouds
3,New Norfolk,AU,-42.7826,147.0587,60.93,77,100,3.0,overcast clouds
4,Saldanha,ZA,-33.0117,17.9442,69.85,84,0,17.11,clear sky
5,Chara,RU,56.9064,118.2631,39.87,85,100,5.68,overcast clouds
6,Tabas,IR,33.5959,56.9244,82.62,32,11,6.91,few clouds
7,Bonthe,SL,7.5264,-12.505,86.95,64,72,12.53,broken clouds
8,Ancud,CL,-41.8697,-73.8203,55.29,80,83,1.83,broken clouds
9,Busselton,AU,-33.65,115.3333,57.24,84,2,2.82,clear sky
10,Muroto,JP,33.2833,134.15,59.79,70,100,4.54,overcast clouds
11,Primorka,RU,47.2836,39.0625,57.11,57,95,12.62,overcast clouds
12,Baillif,GP,16.0202,-61.7463,83.7,70,91,16.02,overcast clouds
13,Barrow,US,71.2906,-156.7887,21.22,86,100,13.8,overcast clouds
14,Kaili,ID,-3.4626,120.2147,67.32,95,83,3.38,broken clouds
15,Bluff,NZ,-46.6,168.3333,52.81,92,20,7.99,few clouds
16,Rikitea,PF,-23.1203,-134.9692,76.37,72,29,6.06,scattered clouds
17,Saint George,US,37.1041,-113.5841,72.79,18,0,1.99,clear sky
18,Mareeba,AU,-17.0,145.4333,68.49,94,85,1.66,overcast clouds
19,Qaanaaq,GL,77.484,-69.3632,12.06,65,20,5.93,few clouds
20,Teeli,RU,51.0333,90.2333,57.83,20,67,4.74,broken clouds
21,Robertsport,LR,6.7533,-11.3686,84.56,71,70,9.66,broken clouds
22,Castro,BR,-24.7911,-50.0119,73.36,63,13,9.35,few clouds
23,Vaini,TO,-21.2,-175.2,78.96,94,75,4.61,broken clouds
24,Dikson,RU,73.5069,80.5464,9.91,97,48,10.45,scattered clouds
25,Mount Gambier,AU,-37.8333,140.7667,57.11,100,100,11.5,overcast clouds
26,Dahegam,IN,23.1667,72.8167,92.97,38,3,12.26,clear sky
27,Kapaa,US,22.0752,-159.319,71.92,95,75,19.57,broken clouds
28,Punta Arenas,CL,-53.15,-70.9167,44.71,87,0,12.66,clear sky
29,Omsukchan,RU,62.5333,155.8,16.27,99,76,7.18,broken clouds
30,Batagay,RU,67.6333,134.6333,25.11,85,79,6.67,broken clouds
31,San Cristobal,VE,7.7669,-72.225,80.78,53,99,7.63,overcast clouds
32,Broken Hill,AU,-31.95,141.4333,49.71,81,0,5.75,clear sky
33,Nome,US,64.5011,-165.4064,37.47,70,0,17.27,clear sky
34,Kodiak,US,57.79,-152.4072,38.71,87,100,19.57,light rain
35,Ushuaia,AR,-54.8,-68.3,47.86,66,75,5.75,broken clouds
36,Carnarvon,AU,-24.8667,113.6333,69.87,73,0,11.5,clear sky
37,Vao,NC,-22.6667,167.4833,75.25,84,22,20.74,few clouds
38,Benjamin Constant,BR,-4.3831,-70.0311,82.53,74,40,4.61,scattered clouds
39,Kavieng,PG,-2.5744,150.7967,81.77,75,8,4.41,clear sky
40,Yellowknife,CA,62.456,-114.3525,34.32,60,0,9.22,clear sky
41,Faanui,PF,-16.4833,-151.75,80.33,74,28,11.12,light rain
42,Cherskiy,RU,68.75,161.3,8.13,93,18,6.85,few clouds
43,Deputatskiy,RU,69.3,139.9,18.16,83,88,4.61,overcast clouds
44,Along,IN,28.1667,94.7667,68.52,86,97,1.9,light rain
45,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,66,1,10.63,clear sky
46,Saint-Philippe,RE,-21.3585,55.7679,78.39,83,46,4.79,scattered clouds
47,Temir,KZ,49.1414,57.13,55.18,65,16,6.44,few clouds
48,Hermanus,ZA,-34.4187,19.2345,66.79,81,0,10.07,clear sky
49,Torbay,CA,47.6666,-52.7314,54.75,86,75,10.36,broken clouds
50,Martapura,ID,-3.4167,114.85,77.09,100,100,11.5,moderate rain
51,Cidreira,BR,-30.1811,-50.2056,64.72,86,100,7.54,overcast clouds
52,Kindu,CD,-2.95,25.95,72.23,83,100,4.25,overcast clouds
53,Ballina,AU,-28.8667,153.5667,66.16,93,100,6.91,overcast clouds
54,Camacupa,AO,-12.0167,17.4833,68.61,59,37,3.94,scattered clouds
55,Port Alfred,ZA,-33.5906,26.891,64.18,80,5,1.99,clear sky
56,Evansville,US,37.9748,-87.5558,68.2,51,0,16.11,clear sky
57,Khatanga,RU,71.9667,102.5,15.35,95,98,9.26,overcast clouds
58,Mar Del Plata,AR,-38.0023,-57.5575,55.87,69,75,14.0,broken clouds
59,Elesbao Veloso,BR,-6.2019,-42.1403,92.79,38,29,4.32,scattered clouds
60,Toamasina,MG,-18.1667,49.3833,80.6,78,40,6.91,scattered clouds
61,Cayenne,GF,4.9333,-52.3333,84.09,12,75,11.5,broken clouds
62,Northam,GB,51.0333,-4.2167,50.61,93,100,6.93,overcast clouds
63,Hovd,MN,48.0056,91.6419,58.93,17,97,5.61,overcast clouds
64,Ravar,IR,31.2656,56.8055,75.11,31,28,2.59,scattered clouds
65,Arman,RU,59.7,150.1667,31.06,85,15,0.54,few clouds
66,Beringovskiy,RU,63.05,179.3167,13.32,94,98,12.57,overcast clouds
67,Roblin,CA,51.23,-101.3565,37.45,83,100,15.55,overcast clouds
68,Airai,TL,-8.9266,125.4092,59.34,88,70,3.38,broken clouds
69,Salalah,OM,17.0151,54.0924,84.2,76,6,3.18,clear sky
70,Buarcos,PT,40.166,-8.8768,64.67,77,51,14.99,broken clouds
71,Atuona,PF,-9.8,-139.0333,78.69,75,48,12.82,scattered clouds
72,Mocuba,MZ,-16.8392,36.9856,68.83,95,33,4.41,light rain
73,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,66,8,2.46,clear sky
74,Laguna,US,38.421,-121.4238,62.29,69,0,3.44,clear sky
75,Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,74,6.96,broken clouds
76,Mataura,NZ,-46.1927,168.8643,52.48,99,27,2.33,scattered clouds
77,Venice,US,27.0998,-82.4543,84.07,65,75,5.75,broken clouds
78,Oranjestad,AW,12.524,-70.027,85.95,70,20,25.32,few clouds
79,Lebu,CL,-37.6167,-73.65,55.29,71,100,14.41,overcast clouds
80,Hamilton,US,39.1834,-84.5333,72.99,66,40,11.5,scattered clouds
81,Andenes,NO,69.3143,16.1194,35.58,93,75,14.97,light intensity drizzle
82,Rawson,AR,-43.3002,-65.1023,51.82,55,97,4.85,overcast clouds
83,Tasiilaq,GL,65.6145,-37.6368,30.27,73,98,11.74,overcast clouds
84,Arani,IN,12.6667,79.2833,86.9,68,74,13.49,broken clouds
85,East London,ZA,-33.0153,27.9116,68.94,64,0,11.5,clear sky
86,Saskylakh,RU,71.9167,114.0833,8.74,98,63,5.19,broken clouds
87,Shache,CN,38.4167,77.2406,68.59,14,43,8.99,scattered clouds
88,Clyde River,CA,70.4692,-68.5914,14.23,79,100,16.11,light snow
89,Hingatungan,PH,10.584,125.1852,80.22,81,34,8.46,scattered clouds
90,Hohhot,CN,40.8106,111.6522,52.09,37,0,4.47,clear sky
91,Ginda,IN,30.6945,78.4932,61.27,64,99,5.7,overcast clouds
92,Albany,US,42.6001,-73.9662,63.18,33,4,1.99,clear sky
93,Sitka,US,57.0531,-135.33,42.85,91,100,6.93,light rain
94,Biak,ID,-0.9131,122.8766,77.0,87,86,5.59,overcast clouds
95,Kutum,SD,14.2,24.6667,93.96,6,74,14.27,broken clouds
96,Te Anau,NZ,-45.4167,167.7167,47.53,92,31,2.42,scattered clouds
97,Mantua,IT,45.1667,10.7833,72.64,76,60,4.14,broken clouds
98,Saint-Augustin,CA,51.226,-58.6502,38.16,83,100,22.64,overcast clouds
99,Sochi,RU,43.6,39.7303,53.69,97,100,2.19,light rain
100,Naze,JP,28.3667,129.4833,63.52,62,100,10.76,overcast clouds
101,Sambava,MG,-14.2667,50.1667,78.3,85,20,7.07,few clouds
102,Cape Town,ZA,-33.9258,18.4232,67.1,70,0,16.11,clear sky
103,Hilo,US,19.7297,-155.09,74.28,100,100,10.0,heavy intensity rain
104,Lorengau,PG,-2.0226,147.2712,81.37,76,7,4.74,clear sky
105,Terra Rica,BR,-22.7094,-52.6169,82.96,52,20,10.45,few clouds
106,Udachnyy,RU,66.4167,112.4,2.97,90,13,4.83,few clouds
107,Bambous Virieux,MU,-20.3428,57.7575,77.25,88,40,3.44,scattered clouds
108,Thinadhoo,MV,0.5333,72.9333,85.91,70,79,16.49,broken clouds
