City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kavieng,PG,2022-04-19 17:14:25,-2.5744,150.7967,82.17,74,86,13.42
1,Ushuaia,AR,2022-04-19 17:11:04,-54.8,-68.3,53.22,58,53,7.05
2,Maceio,BR,2022-04-19 17:12:06,-9.6658,-35.7353,87.24,58,75,11.5
3,Suez,EG,2022-04-19 17:12:25,29.9737,32.5263,67.44,54,2,20.62
4,Mount Isa,AU,2022-04-19 17:14:26,-20.7333,139.5,73.17,27,19,12.66
5,Chuy,UY,2022-04-19 17:14:26,-33.6971,-53.4616,76.01,49,0,7.09
6,Nome,US,2022-04-19 17:14:27,64.5011,-165.4064,30.27,55,0,13.8
7,Bredasdorp,ZA,2022-04-19 17:14:27,-34.5322,20.0403,62.53,90,0,8.63
8,Khilok,RU,2022-04-19 17:14:27,51.3674,110.4676,34.68,75,100,11.16
9,Mehamn,NO,2022-04-19 17:14:28,71.0357,27.8492,37.35,87,75,5.75
10,Oriximina,BR,2022-04-19 17:14:28,-1.7656,-55.8661,88.14,61,88,2.19
11,Honiara,SB,2022-04-19 17:10:32,-9.4333,159.95,76.95,86,84,4.0
12,Cape Town,ZA,2022-04-19 17:14:28,-33.9258,18.4232,76.91,45,0,7.0
13,Nicoya,CR,2022-04-19 17:14:29,10.1483,-85.452,92.26,39,100,10.07
14,Wakkanai,JP,2022-04-19 17:14:29,45.4094,141.6739,44.44,74,4,27.94
15,Shimoda,JP,2022-04-19 17:14:29,34.6667,138.95,54.1,81,72,5.53
16,Cassilandia,BR,2022-04-19 17:14:29,-19.1133,-51.7342,86.72,42,0,4.18
17,Port Elizabeth,ZA,2022-04-19 17:14:30,-33.918,25.5701,69.1,86,5,12.82
18,Kirakira,SB,2022-04-19 17:14:30,-10.4544,161.9205,79.72,84,96,5.93
19,Portland,US,2022-04-19 17:11:50,45.5234,-122.6762,46.53,91,100,8.05
20,Punta Arenas,CL,2022-04-19 17:12:16,-53.15,-70.9167,51.91,50,0,11.5
21,Dikson,RU,2022-04-19 17:14:31,73.5069,80.5464,6.4,96,100,7.02
22,Victoria,HK,2022-04-19 17:10:17,22.2855,114.1577,69.33,84,100,4.0
23,Ribeira Grande,PT,2022-04-19 17:14:31,38.5167,-28.7,63.0,63,75,13.8
24,Touros,BR,2022-04-19 17:14:31,-5.1989,-35.4608,86.72,56,80,14.83
25,Butembo,CD,2022-04-19 17:14:32,0.15,29.2833,59.86,96,100,2.48
26,Butaritari,KI,2022-04-19 17:14:32,3.0707,172.7902,81.66,74,32,16.28
27,Ashland,US,2022-04-19 17:13:04,40.8167,-82.2665,40.41,74,98,18.48
28,Georgetown,MY,2022-04-19 17:12:16,5.4112,100.3354,78.73,89,20,3.44
29,Thompson,CA,2022-04-19 17:11:17,55.7435,-97.8558,28.27,75,100,4.68
30,Plouzane,FR,2022-04-19 17:14:33,48.3833,-4.6167,53.65,60,40,13.8
31,Atagay,RU,2022-04-19 17:14:33,55.1033,99.3875,27.41,81,49,3.18
